time,method,parameter,x,y,vx,vy,gap,penetration,lambda_n,complementarity_error,ncp_residual,solver_success,residual_norm
0.152,penalty,1000.0,0.0,0.885929320000001,0.0,-1.491120000000004,0.885929320000001,0.0,0.0,0.0,0.0,True,0.0
0.153,penalty,1000.0,0.0,0.8844283900000011,0.0,-1.500930000000004,0.8844283900000011,0.0,0.0,0.0,0.0,True,0.0
0.154,penalty,1000.0,0.0,0.8829176500000011,0.0,-1.5107400000000042,0.8829176500000011,0.0,0.0,0.0,0.0,True,0.0
0.155,penalty,1000.0,0.0,0.8813971000000012,0.0,-1.5205500000000043,0.8813971000000012,0.0,0.0,0.0,0.0,True,0.0
0.156,penalty,1000.0,0.0,0.8798667400000012,0.0,-1.5303600000000044,0.8798667400000012,0.0,0.0,0.0,0.0,True,0.0
0.157,penalty,1000.0,0.0,0.8783265700000012,0.0,-1.5401700000000045,0.8783265700000012,0.0,0.0,0.0,0.0,True,0.0
0.158,penalty,1000.0,0.0,0.8767765900000013,0.0,-1.5499800000000046,0.8767765900000013,0.0,0.0,0.0,0.0,True,0.0
0.159,penalty,1000.0,0.0,0.8752168000000013,0.0,-1.5597900000000047,0.8752168000000013,0.0,0.0,0.0,0.0,True,0.0
0.16,penalty,1000.0,0.0,0.8736472000000013,0.0,-1.5696000000000048,0.8736472000000013,0.0,0.0,0.0,0.0,True,0.0
0.161,penalty,1000.0,0.0,0.8720677900000012,0.0,-1.5794100000000049,0.8720677900000012,0.0,0.0,0.0,0.0,True,0.0
0.162,penalty,1000.0,0.0,0.8704785700000012,0.0,-1.589220000000005,0.8704785700000012,0.0,0.0,0.0,0.0,True,0.0
0.163,penalty,1000.0,0.0,0.8688795400000011,0.0,-1.599030000000005,0.8688795400000011,0.0,0.0,0.0,0.0,True,0.0
0.164,penalty,1000.0,0.0,0.8672707000000011,0.0,-1.6088400000000052,0.8672707000000011,0.0,0.0,0.0,0.0,True,0.0
0.165,penalty,1000.0,0.0,0.865652050000001,0.0,-1.6186500000000053,0.865652050000001,0.0,0.0,0.0,0.0,True,0.0
0.166,penalty,1000.0,0.0,0.864023590000001,0.0,-1.6284600000000053,0.864023590000001,0.0,0.0,0.0,0.0,True,0.0
0.167,penalty,1000.0,0.0,0.8623853200000009,0.0,-1.6382700000000054,0.8623853200000009,0.0,0.0,0.0,0.0,True,0.0
0.168,penalty,1000.0,0.0,0.8607372400000008,0.0,-1.6480800000000055,0.8607372400000008,0.0,0.0,0.0,0.0,True,0.0
0.169,penalty,1000.0,0.0,0.8590793500000008,0.0,-1.6578900000000056,0.8590793500000008,0.0,0.0,0.0,0.0,True,0.0
0.17,penalty,1000.0,0.0,0.8574116500000007,0.0,-1.6677000000000057,0.8574116500000007,0.0,0.0,0.0,0.0,True,0.0
